substance,concentration,ph,method,seed,meanCurrent,stdCurrent,maxCurrent,minCurrent,meanVoltage,voltageRange,meanGradient,maxGradient,minGradient,peakCurrent,peakPotential,peakWidth,peakArea,peakProminence,peakSymmetry
dopamine,0.1,6.0,SWV,0,0.005943247449868509,0.016005891315113686,0.09125410916556355,-0.006485434235132953,0.09999999999999992,1.4,2.067685704284247e-06,0.00902331565354601,-0.0064035981855479285,0.09125410916556355,0.25506883604505626,0.06483103879849816,0.004553529422607821,0.08903085892783784,0.7619047619047621
dopamine,0.1,6.0,SWV,1,0.005877231020818765,0.016083771039378802,0.09075625262104668,-0.006640131175825763,0.09999999999999992,1.4,-8.728684460400956e-07,0.006257748161588458,-0.0058827632249530346,0.09075625262104668,0.2620775969962452,0.06483103879849805,0.004572700545922168,0.08860028199536224,0.9473684210526309
dopamine,0.1,6.0,SWV,2,0.005908363693277447,0.01599829725923695,0.09071292747342309,-0.0062708285792859855,0.09999999999999992,1.4,2.429610497538823e-07,0.006288802457906681,-0.004354170387428834,0.09071292747342309,0.2585732165206507,0.06483103879849805,0.004543422334746118,0.08840296203005228,0.8499999999999981
dopamine,0.1,6.0,SWV,3,0.006040042006725703,0.016099911597196113,0.09179031777821639,-0.00631228499398638,0.09999999999999992,1.4,-5.16151647709307e-06,0.007142936639136087,-0.006138521617147829,0.09179031777821639,0.2620775969962452,0.0630788485607009,0.004498307915079263,0.08948510735357952,0.894736842105265
dopamine,0.1,6.0,SWV,4,0.005984315907789976,0.016082216121378168,0.09044474354569396,-0.006476998216488804,0.09999999999999992,1.4,-1.0314614493263716e-06,0.005248143882619207,-0.006413935089652635,0.09044474354569396,0.2568210262828535,0.06483103879849805,0.00456842799831745,0.08816811691248548,0.7619047619047643
dopamine,0.1,6.0,SWV,5,0.0059687776608933095,0.016037905578196534,0.09143996576162929,-0.005860845547397829,0.09999999999999992,1.4,3.7671961107838314e-06,0.00606744788466464,-0.005857226552097465,0.09143996576162929,0.2638297872340425,0.06483103879849816,0.004563602650856886,0.08920202286353317,0.7619047619047621
dopamine,0.1,6.0,SWV,6,0.005978056423466895,0.01598949837924508,0.09295492642955566,-0.006061177906554017,0.09999999999999992,1.4,2.649242732566883e-06,0.0051041354752456684,-0.0049555119563189365,0.09295492642955566,0.25506883604505626,0.06483103879849805,0.004544964089260053,0.09070195134700705,0.681818181818183
dopamine,0.1,6.0,SWV,7,0.005818011273407597,0.015928130116557776,0.09092888587128097,-0.0070296353769433535,0.09999999999999992,1.4,-3.892671913189183e-06,0.0058406956141283,-0.005665548089580703,0.09092888587128097,0.2585732165206507,0.06483103879849805,0.004533891282576021,0.088826774131099,0.8499999999999981
dopamine,0.1,6.0,SWV,8,0.005981818740110442,0.016075432857804026,0.09163903165338118,-0.007057238687086291,0.09999999999999992,1.4,7.839610653855997e-06,0.005970238398272654,-0.005750406667682444,0.09163903165338118,0.2568210262828535,0.0630788485607009,0.004489845269899734,0.08943387995519197,0.8000000000000006
dopamine,0.1,6.0,SWV,9,0.00599752152327023,0.016031862818809067,0.09144203262740931,-0.0070058905699297205,0.09999999999999992,1.4,4.0526846968531916e-08,0.006525115280444423,-0.005397560606241244,0.09144203262740931,0.25506883604505626,0.06307884856070078,0.004472181133166605,0.08912579554827188,0.6363636363636369
dopamine,0.1,6.5,SWV,0,0.005998494676702107,0.016145021048441673,0.08801318720721323,-0.007247802240515901,0.09999999999999992,1.4,2.0067878020148498e-06,0.0057685183562759335,-0.006279325379773196,0.08801318720721323,0.22878598247809756,0.06833541927409259,0.004733799675256463,0.08567974360383333,0.7727272727272753
dopamine,0.1,6.5,SWV,1,0.00593504946900775,0.016296574583779633,0.08678299759167671,-0.006591861802367592,0.09999999999999992,1.4,-8.192370449704747e-07,0.005239338544856257,-0.006201655823497987,0.08678299759167671,0.232290362953692,0.0735919899874844,0.0050065851889040695,0.08448077906885545,0.9090909090909081
dopamine,0.1,6.5,SWV,2,0.005964969579784009,0.016183174007677364,0.089830872822794,-0.00714699524049438,0.09999999999999992,1.4,2.531328958330374e-07,0.005230132951404957,-0.004400681183539194,0.089830872822794,0.2270337922403003,0.07008760951188986,0.004822416604815152,0.08736966867675304,0.6666666666666675
