substance,concentration,ph,method,seed,meanCurrent,stdCurrent,maxCurrent,minCurrent,meanVoltage,voltageRange,meanGradient,maxGradient,minGradient,peakCurrent,peakPotential,peakWidth,peakArea,peakProminence,peakSymmetry
dopamine,0.1,6.0,DVP,0,0.006980931525990631,0.016970909376724384,0.09862303313365753,-0.004546445585506759,0.10000000000000003,1.4,7.565680510145244e-06,0.008028157175377526,-0.007526921266873304,0.09862303313365753,0.25290581162324655,0.06452905811623244,0.004900613923147721,0.09607775468760767,0.769230769230771
dopamine,0.1,6.0,DVP,1,0.006964591458493768,0.017019124106773056,0.10041733801083147,-0.0036127975627281914,0.10000000000000003,1.4,3.3626213470472545e-06,0.00889019779092285,-0.007562583369953697,0.10041733801083147,0.2585170340681363,0.061723446893787504,0.004786340406959793,0.09790718343501933,0.8333333333333306
dopamine,0.1,6.0,DVP,2,0.0069319425143261944,0.01709517594704226,0.10097506391535971,-0.003458782395188904,0.10000000000000003,1.4,2.6399466801934905e-07,0.008699919676156874,-0.007408427678198735,0.10097506391535971,0.25290581162324655,0.061723446893787504,0.004792821076344586,0.0985795929832176,0.8333333333333366
dopamine,0.1,6.0,DVP,3,0.007132145361981623,0.016891469053332168,0.09763085979325752,-0.0037028576739977,0.10000000000000003,1.4,-4.9682377911196744e-06,0.008166759085366276,-0.00847175138043071,0.09763085979325752,0.26132264529058113,0.06733466933867738,0.004997032219238063,0.0948761524977343,0.7142857142857151
dopamine,0.1,6.0,DVP,4,0.0070374147817279485,0.017012487291720273,0.10051182739012685,-0.0033571651338458906,0.10000000000000003,1.4,3.371885021725268e-06,0.007634089509481766,-0.006802298005356613,0.10051182739012685,0.25290581162324655,0.061723446893787504,0.004760870681978055,0.09795709111713015,0.8333333333333366
dopamine,0.1,6.0,DVP,5,0.007033000868932323,0.016942910687873302,0.09940259232608421,-0.0022549480542793663,0.10000000000000003,1.4,-1.063595221237396e-06,0.008038789508814391,-0.007535705146518953,0.09940259232608421,0.2585170340681363,0.061723446893787504,0.004754385009863967,0.09673618319669475,0.8333333333333306
dopamine,0.1,6.0,DVP,6,0.007035130224219986,0.01697888921048158,0.10119320159407576,-0.003681877941292258,0.10000000000000003,1.4,-6.597275332447658e-06,0.008135554806325808,-0.0076052491615307485,0.10119320159407576,0.25290581162324655,0.061723446893787504,0.004756007008345585,0.09839502244898495,0.8333333333333366
dopamine,0.1,6.0,DVP,7,0.006793607769492269,0.017114834234529905,0.1014484537890193,-0.004008608505892906,0.10000000000000003,1.4,-3.314836085364585e-06,0.007630941361393256,-0.007099894490339816,0.1014484537890193,0.25571142284569137,0.061723446893787504,0.00480625945693397,0.09924240199694087,1.0
dopamine,0.1,6.0,DVP,8,0.007056071528704141,0.016786691234399978,0.09990373545322835,-0.0033059436260456355,0.10000000000000003,1.4,1.7025934896926237e-06,0.007862113378736699,-0.006929018218196872,0.09990373545322835,0.25571142284569137,0.061723446893787504,0.004713563286406414,0.09722654854326267,1.0
dopamine,0.1,6.0,DVP,9,0.007040202280201409,0.016986453452551984,0.09931384855061341,-0.003461869954846152,0.10000000000000003,1.4,2.3064064279514794e-05,0.008793328508047413,-0.007456192702034785,0.09931384855061341,0.2585170340681363,0.06452905811623244,0.004885093115944584,0.09655042682306889,0.9166666666666653
dopamine,0.1,6.5,DVP,0,0.007044758874896578,0.017152150059813735,0.10086814955967272,-0.004643453721763559,0.10000000000000003,1.4,7.613268769596152e-06,0.008350822780995283,-0.009618615140034807,0.10086814955967272,0.22765531062124245,0.06452905811623244,0.004940148411771557,0.09828492877229775,0.9166666666666653
dopamine,0.1,6.5,DVP,1,0.007028198680202028,0.01725903323051424,0.10030762902750469,-0.0036802446965292814,0.10000000000000003,1.4,3.3535875860893264e-06,0.00764204880224973,-0.006615591914318677,0.10030762902750469,0.22765531062124245,0.06452905811623244,0.0049817575636148335,0.09779855394634233,0.9166666666666653
dopamine,0.1,6.5,DVP,2,0.0069951099018300674,0.01729658146725384,0.10032264752303441,-0.0035195201704072716,0.10000000000000003,1.4,2.1321738258295394e-07,0.008428383577794487,-0.007855996066721674,0.10032264752303441,0.22765531062124245,0.06452905811623244,0.00499286410030498,0.09792122959770316,0.9166666666666653
dopamine,0.1,6.5,DVP,3,0.007198009806387617,0.01717635182880517,0.10267670097236947,-0.0037664364091916005,0.10000000000000003,1.4,-5.089501729631627e-06,0.008828048347997577,-0.008586103223516607,0.10267670097236947,0.22484969939879762,0.061723446893787504,0.004808285493678172,0.09991548419848927,0.6923076923076927
dopamine,0.1,6.5,DVP,4,0.007102003051652377,0.01734933933453948,0.10173124248567426,-0.004212266078024781,0.10000000000000003,1.4,3.362976057482374e-06,0.007981619185739697,-0.007094579715703819,0.10173124248567426,0.22484969939879762,0.06452905811623244,0.0050067961729917876,0.09919967553305614,0.769230769230771
